"What is the optimization equation of GBDT ?",""
"Write the formulation of hinge loss ?",""
"What is the train time complexity of KNN ?",""
"What is the Test time complexity of KNN in brute force ?",""
"What is the test time complexity of KNN if we use kd-tree ?",""
"How will you regularise the KNN model ?",""
"Which of these model are preferable when we have low complexity power ?
a. SVM
b. KNN
c. Linear Regressions
d. Xgboost",""
"What is Laplace smoothing ?",""
"How will you regularise your naive bayes model ?",""
"Can we solve dimensionality reduction with SGD?",""
"Which of these will be doing more computations GD or SGD ?",""
"If A is a matrix of size (3,3) and B is a matrix of size (3,4) how many numbers of multiplications that can happen in the operations A*B ?",""
"What is the optimization equation of Logistic Regression ?",""
"How will you calculate the P(x/y=0) in case of gaussian naive baiyes ?",""
"Write the code for proportional sampling.",""
"What are hyperparameters in kernel svm ?",""
"What are hyperparameters in SGD with hinge loss ?",""
"Is hinge loss differentiable if not how we will modify it so that you apply SGD ?",""
"Difference between ADAM vs RMSPROP ?",""
"What is RMSPROP?",""
"What is ADAM ?",""
"What is the maximum and minimum values of gradient of the sigmoid function ?",""
"What is RELU? Is it differentiable ?",""
"What is F1 score ?",""
"What is precission and recall ?",""
"Name a few weight initialization techniques ?",""
"Which of these will have more numbers of tunable parameters?  
a. 7,7,512) ⇒ flatern ⇒ Dense(512) 
b. (7,7,512) ⇒ Conv (512,(7,7))",""
"What is overfitting and underfitting ?",""
"What do you do if a deep learning model is overfitting?",""
"What is the batch Normalization layer ?",""
"Write keras code to add a BN layer in an existing network ?",""
"Number of tunable parameters in the BN layer.","[gamma weights, beta weights, moving_mean(non-trainable), moving_variance(non-trainable)]"
"What is convolution operation?",""
"Number of parameters in a convolution neural network given in architecture",""
"What are the inputs required to calculate the average f1 score ?",""
"What macro average f1 score for 5 class classification problem.",""
"Is the Calibration classifier required to get probability values for logistic regression.?",""
"How does kernel sum work in test time ?",""
"What kind of base learners are preferable in random forest classifiers ?",""
"How does bootstraping works in RF classification.",""
"Difference between one vs rest and one vs one.",""
"Which one is better is one vs rest and one vs one.",""
"What will happen if gamma increases in RBF kernel sum.",""
"Explain linear regression.",""
"What is difference between one hot encoding and a binary bow?",""
"Kernal svm and linear svm ( SGD classifier with hinge loss). Which has low latency and why.",""
"Explain bayes theorem.",""
"How to decrease the test time complexity of a logistic regression model.",""
"What is the need for sigmoid function in logistic regression.",""
"Why we need Calibration ?",""
"What is MAP ? (mean average precision)",""
"Why do we need gated mechanism in LSTM ?",""
"What is stratified sampling ? Explain.",""
"How do you compare two distributions ?",""
"What will happen to train time of K means of data is very high dimension.",""
"If you have 10mill records with 100dimension each for a clustering task. Which algorithm 
will you try first and why ?",""
"What is matrix Factorization? Explain with an Example.",""
